"","juror_id","venireperson","caused","state","defense","juror_not_struck","ammend_5","judgement","inn","bias_no_fair","bias_for_state","bias_a_g_state","bias_for_def","bias_a_g_def","bias_a_g_police","bias_for_police","cant_follow_law","attn","bop_100_percent","phys","agmt","vict","eye_witness","pun","pun_min","pun_max","esl","covid","med","prior_conviction","no_show","work_exempt","child_exempt","age_exempt","jur_age","jur_race","jur_gend","zip_code","four","defendants_name","defendants_race","defendants_gender","cause_number_f_xx_xxxxx","charge","verdict","punishment_number_years","probation","notes","age_group","peremptory_strike","jur_caused","jur_struck","jur_exempt","jur_disqualified","jur_biased","jur_pun","city","income_mean_household_income_hh_cnt","income_mean_nonfamily_income_hh_cnt","income_median_family_income_fam_cnt","income_median_household_income_hh_cnt","i_30","po_box","jur_race_w"
"19",19,"21","1","0","0","Not a Juror","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",47,"Black","Female","75154",NA,"def_18","Black","Male","trial_36","Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","45 - 54","No","Yes","No","No","No","Yes","No","Red Oak",93171,54064,84753,78699,"South","N","Black"
"20",20,"22","0","1","0","Not a Juror","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",20,"Hispanic","Female","75229",NA,"def_18","Black","Male","trial_36","Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","18 - 30","State","No","Yes","No","No","No","No","Dallas",167743,94593,112815,100144,"North","N","Hispanic"
"21",21,"23","0","0","0","Not a Juror","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",49,"White","Female","75159",NA,"def_18","Black","Male","trial_36","Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","45 - 54","No","No","No","No","No","No","No","Seagoville",72139,44300,56563,55712,"South","N","White"
"22",22,"24","0","0","1","Not a Juror","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",49,"White","Male","75150",NA,"def_18","Black","Male","trial_36","Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","45 - 54","Defense","No","Yes","No","No","No","No","Mesquite",65031,45078,63203,54440,"South","N","White"
"23",23,"25","0","0","0","Juror","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",45,"Black","Female","75206",NA,"def_18","Black","Male","trial_36","Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","45 - 54","No","No","No","No","No","No","No","Dallas",104625,80293,111744,71135,"North","N","Black"
"24",24,"26","0","0","1","Not a Juror","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",27,"White","Male","75206",NA,"def_18","Black","Male","trial_36","Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","18 - 30","Defense","No","Yes","No","No","No","No","Dallas",104625,80293,111744,71135,"North","N","White"
"25",25,"27","1","0","0","Not a Juror","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0",19,"White","Female","75080",NA,"def_18","Black","Male","trial_36","Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","18 - 30","No","Yes","No","No","No","No","Yes","Richardson",101254,58591,101964,77736,"North","N","White"
"26",26,"28","0","0","0","Juror","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",28,"White","Male","75039",NA,"def_18","Black","Male","trial_36","Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","18 - 30","No","No","No","No","No","No","No","Irving",119740,100239,109909,92224,"North","N","White"
"27",27,"29","1","0","0","Not a Juror","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0",68,"Black","Male","75134",NA,"def_18","Black","Male","trial_36","Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","55 +","No","Yes","No","No","No","No","Yes","Lancaster",63900,41507,62725,54140,"South","N","Black"
"28",28,"30","1","0","0","Not a Juror","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0",24,"White","Male","75229",NA,"def_18","Black","Male","trial_36","Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","18 - 30","No","Yes","No","No","No","No","No","Dallas",167743,94593,112815,100144,"North","N","White"
"29",29,"31","1","0","0","Not a Juror","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",23,"Hispanic","Male","75216",NA,"def_18","Black","Male","trial_36","Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","18 - 30","No","Yes","No","No","No","No","No","Dallas",39221,24677,35480,27288,"South","N","Hispanic"
"30",30,"32","0","0","0","Juror","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",35,"Black","Female","75235",NA,"def_18","Black","Male","trial_36","Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","31 - 44","No","No","No","No","No","No","No","Dallas",59280,51736,55768,48603,"North","N","Black"
"31",31,"33","1","0","0","Not a Juror","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0",64,"White","Male","75180",NA,"def_18","Black","Male","trial_36","Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","55 +","No","Yes","No","No","No","No","Yes","Balch Springs",60354,41158,51451,50278,"South","N","White"
"32",32,"34","1","0","0","Not a Juror","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",31,"Hispanic","Male","75050",NA,"def_18","Black","Male","trial_36","Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","31 - 44","No","Yes","No","No","No","Yes","No","Grand Prairie",71336,53913,61583,58567,"Split","N","Hispanic"
"33",33,"35","1","0","0","Not a Juror","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",64,"Other","Female","75134",NA,"def_18","Black","Male","trial_36","Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","55 +","No","Yes","No","No","No","Yes","No","Lancaster",63900,41507,62725,54140,"South","N","Other"
"34",34,"36","0","0","1","Not a Juror","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",72,"White","Female","75234",NA,"def_18","Black","Male","trial_36","Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","55 +","Defense","No","Yes","No","No","No","No","Dallas",93735,72344,76379,71118,"North","N","White"
"35",35,"37","0","0","0","Juror","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",23,"Black","Male","75104",NA,"def_18","Black","Male","trial_36","Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","18 - 30","No","No","No","No","No","No","No","Cedar Hill",88892,54404,83143,73171,"South","N","Black"
"36",36,"38","0","0","0","Juror","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",57,"White","Female","75209",NA,"def_18","Black","Male","trial_36","Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","55 +","No","No","No","No","No","No","No","Dallas",158441,96340,114000,95112,"North","N","White"
"37",37,"39","1","0","0","Not a Juror","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0",54,"Black","Female","75062",NA,"def_18","Black","Male","trial_36","Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","45 - 54","No","Yes","No","No","No","No","No","Irving",72960,53567,61189,55392,"North","N","Black"
"38",38,"40","0","0","0","Juror","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",26,"White","Male","75253",NA,"def_18","Black","Male","trial_36","Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","18 - 30","No","No","No","No","No","No","No","Dallas",56714,35439,48253,48174,"South","N","White"
"39",39,"41","0","1","0","Not a Juror","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",63,"Asian","Male","75060",NA,"def_18","Black","Male","trial_36","Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","55 +","State","No","Yes","No","No","No","No","Irving",70295,53509,58591,57907,"North","N","Asian"
"40",40,"42","1","0","0","Not a Juror","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",65,"White","Male","75038",NA,"def_18","Black","Male","trial_36","Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","55 +","No","Yes","No","No","No","Yes","No","Irving",79820,65523,73291,61692,"North","N","White"
"41",41,"43","0","1","0","Not a Juror","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",24,"White","Male","75208",NA,"def_18","Black","Male","trial_36","Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","18 - 30","State","No","Yes","No","No","No","No","Dallas",96005,78495,68440,63277,"Split","N","White"
"42",42,"44","1","0","0","Not a Juror","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",19,"Black","Male","75211",NA,"def_18","Black","Male","trial_36","Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","18 - 30","No","Yes","No","No","No","No","No","Dallas",57611,47720,46409,44893,"South","N","Black"
"43",43,"45","0","0","1","Not a Juror","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",22,"Other","Female","75051",NA,"def_18","Black","Male","trial_36","Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","18 - 30","Defense","No","Yes","No","No","No","No","Grand Prairie",52516,31901,49351,42922,"South","N","Other"
"44",44,"46","0","0","1","Not a Juror","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",29,"White","Male","75231",NA,"def_18","Black","Male","trial_36","Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","18 - 30","Defense","No","Yes","No","No","No","No","Dallas",68726,50055,44508,41806,"North","N","White"
"45",45,"47","0","0","0","Juror","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",60,"White","Female","75081",NA,"def_18","Black","Male","trial_36","Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","55 +","No","No","No","No","No","No","No","Richardson",93298,67961,89191,77174,"North","N","White"
"46",46,"48","0","0","0","Juror","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",37,"White","Male","75243",NA,"def_18","Black","Male","trial_36","Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","31 - 44","No","No","No","No","No","No","No","Dallas",63650,45503,46954,41786,"North","N","White"
"47",47,"49","0","0","0","Juror","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",34,"Black","Female","75217",NA,"def_18","Black","Male","trial_36","Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","31 - 44","No","No","No","No","No","No","No","Dallas",48362,31057,42598,40475,"South","N","Black"
"48",48,"50","0","0","0","Juror","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",26,"White","Female","75044",NA,"def_18","Black","Male","trial_36","Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","18 - 30","No","No","No","No","No","No","No","Garland",93258,65129,76381,69254,"North","N","White"
"49",49,"51","1","0","0","Not a Juror","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",64,"White","Female","75238",NA,"def_18","Black","Male","trial_36","Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","55 +","No","Yes","No","No","No","Yes","No","Dallas",107107,57091,100582,70593,"North","N","White"
"50",50,"52","0","0","0","Juror","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",28,"White","Male","75230",NA,"def_18","Black","Male","trial_36","Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","18 - 30","No","No","No","No","No","No","No","Dallas",196645,85372,162696,91596,"North","N","White"
"51",51,"53","0","0","1","Not a Juror","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",65,"White","Female","75229",NA,"def_18","Black","Male","trial_36","Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","55 +","Defense","No","Yes","No","No","No","No","Dallas",167743,94593,112815,100144,"North","N","White"
"52",52,"54","0","1","0","Not a Juror","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",54,"Hispanic","Male","75249",NA,"def_18","Black","Male","trial_36","Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","45 - 54","State","No","Yes","No","No","No","No","Dallas",75466,55043,64819,64246,"South","N","Hispanic"
"53",53,"55","1","0","0","Not a Juror","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0",65,"Black","Female","75228",NA,"def_18","Black","Male","trial_36","Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","55 +","No","Yes","No","No","No","Yes","Yes","Dallas",57260,42614,48542,42243,"North","N","Black"
"54",54,"56","0","1","1","Not a Juror","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",44,"Other","Female","75214",NA,"def_18","Black","Male","trial_36","Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","31 - 44","State","No","Yes","No","No","No","No","Dallas",148195,80228,157846,89719,"North","N","Other"
"55",55,"57","0","0","0","Juror","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",50,"White","Female","75089",NA,"def_18","Black","Male","trial_36","Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","45 - 54","No","No","No","No","No","No","No","Rowlett",118354,78840,112590,107111,"North","N","White"
"56",56,"58","1","0","0","Not a Juror","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0",36,"Asian","Female","75104",NA,"def_18","Black","Male","trial_36","Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","31 - 44","No","Yes","No","No","No","No","Yes","Cedar Hill",88892,54404,83143,73171,"South","N","Asian"
"57",57,"63","1","0","0","Not a Juror","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0",31,"Hispanic","Female","75050",NA,"def_18","Black","Male","trial_36","Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","31 - 44","No","Yes","No","No","No","No","Yes","Grand Prairie",71336,53913,61583,58567,"Split","N","Hispanic"
"58",58,"65","1","0","0","Not a Juror","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",29,"White","Female","75201",NA,"def_18","Black","Male","trial_36","Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","18 - 30","No","Yes","No","No","No","No","No","Dallas",139620,126902,131588,97104,"North","N","White"
"59",59,"66","1","0","0","Not a Juror","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0",40,"Black","Male","75104",NA,"def_18","Black","Male","trial_36","Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","31 - 44","No","Yes","No","No","No","No","No","Cedar Hill",88892,54404,83143,73171,"South","N","Black"
"60",60,"69","1","0","0","Not a Juror","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",58,"Black","Male","75212",NA,"def_18","Black","Male","trial_36","Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","55 +","No","Yes","No","No","No","No","No","Dallas",47461,37290,40670,36212,"North","N","Black"
"61",61,"72","1","0","0","Not a Juror","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",60,"White","Male","75244",NA,"def_18","Black","Male","trial_36","Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","55 +","No","Yes","No","No","No","Yes","No","Dallas",135893,83812,118622,95711,"North","N","White"
"62",62,"1","0","1","0","Not a Juror","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",33,"White","Female","75089",NA,"def_39","Black","Male","trial_26","Murder","Mistrial",0,"0","Mistrial because of a significant medical incident involving a lawyer.","31 - 44","State","No","Yes","No","No","No","No","Rowlett",118354,78840,112590,107111,"North","N","White"
"63",63,"2","0","0","1","Not a Juror","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",68,"White","Female","75052",NA,"def_39","Black","Male","trial_26","Murder","Mistrial",0,"0","Mistrial because of a significant medical incident involving a lawyer.","55 +","Defense","No","Yes","No","No","No","No","Grand Prairie",90904,59514,85220,78660,"South","N","White"
"64",64,"3","0","0","0","Juror","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",46,"White","Female","75062",NA,"def_39","Black","Male","trial_26","Murder","Mistrial",0,"0","Mistrial because of a significant medical incident involving a lawyer.","45 - 54","No","No","No","No","No","No","No","Irving",72960,53567,61189,55392,"North","N","White"
"65",65,"4","1","0","0","Not a Juror","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",36,"Black","Male","75042",NA,"def_39","Black","Male","trial_26","Murder","Mistrial",0,"0","Mistrial because of a significant medical incident involving a lawyer.","31 - 44","No","Yes","No","No","No","Yes","No","Garland",63579,47822,53496,50549,"North","N","Black"
"66",66,"5","0","0","0","Not a Juror","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",63,"Other","Male","75211",NA,"def_39","Black","Male","trial_26","Murder","Mistrial",0,"0","Mistrial because of a significant medical incident involving a lawyer.","55 +","No","No","No","No","No","No","No","Dallas",57611,47720,46409,44893,"South","N","Other"
"67",67,"6","0","0","0","Not a Juror","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",20,"Black","Male","75040",NA,"def_39","Black","Male","trial_26","Murder","Mistrial",0,"0","Mistrial because of a significant medical incident involving a lawyer.","18 - 30","No","No","No","No","No","Yes","No","Garland",76342,52894,68626,63924,"North","N","Black"
"68",68,"7","1","0","0","Not a Juror","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",39,"Black","Female","75080",NA,"def_39","Black","Male","trial_26","Murder","Mistrial",0,"0","Mistrial because of a significant medical incident involving a lawyer.","31 - 44","No","Yes","No","No","No","Yes","No","Richardson",101254,58591,101964,77736,"North","N","Black"
