"","juror_id","venireperson","caused","state","defense","juror_not_struck","ammend_5","judgement","inn","bias_no_fair","bias_for_state","bias_a_g_state","bias_for_def","bias_a_g_def","bias_a_g_police","bias_for_police","cant_follow_law","attn","bop_100_percent","phys","agmt","vict","eye_witness","pun","pun_min","pun_max","esl","covid","med","prior_conviction","no_show","work_exempt","child_exempt","age_exempt","jur_age","jur_race","jur_gend","zip_code","four","defendants_name","defendants_race","defendants_gender","cause_number_f_xx_xxxxx","voir_dire_date","charge","verdict","punishment_number_years","probation","notes","age_group","peremptory_strike","jur_caused","jur_struck","jur_exempt","jur_disqualified","jur_biased","jur_pun"
"11",11,"13","0","0","0","Juror","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",49,"Asian","Female","75019",NA,"def_18","Black","Male","trial_13",2021-07-01,"Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","45 - 54","No","No","No","No","No","No","No"
"12",12,"14","0","0","1","Not a Juror","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",59,"Black","Female","75210",NA,"def_18","Black","Male","trial_13",2021-07-01,"Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","55 +","Defense","No","Yes","No","No","No","No"
"13",13,"15","0","0","1","Not a Juror","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",28,"White","Female","75206",NA,"def_18","Black","Male","trial_13",2021-07-01,"Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","18 - 30","Defense","No","Yes","No","No","No","No"
"14",14,"16","1","0","0","Not a Juror","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",64,"White","Male","75254",NA,"def_18","Black","Male","trial_13",2021-07-01,"Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","55 +","No","Yes","No","No","No","No","No"
"15",15,"17","0","1","0","Not a Juror","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",43,"White","Female","75089",NA,"def_18","Black","Male","trial_13",2021-07-01,"Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","31 - 44","State","No","Yes","No","No","No","No"
"16",16,"18","1","0","0","Not a Juror","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",57,"Black","Female","75149",NA,"def_18","Black","Male","trial_13",2021-07-01,"Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","55 +","No","Yes","No","No","No","No","No"
"17",17,"19","1","0","0","Not a Juror","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0",26,"Hispanic","Male","75019",NA,"def_18","Black","Male","trial_13",2021-07-01,"Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","18 - 30","No","Yes","No","No","No","No","Yes"
"18",18,"20","1","0","0","Not a Juror","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0",26,"White","Male","75080",NA,"def_18","Black","Male","trial_13",2021-07-01,"Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","18 - 30","No","Yes","No","No","No","No","Yes"
"19",19,"21","1","0","0","Not a Juror","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",47,"Black","Female","75154",NA,"def_18","Black","Male","trial_13",2021-07-01,"Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","45 - 54","No","Yes","No","No","No","Yes","No"
"20",20,"22","0","1","0","Not a Juror","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",20,"Hispanic","Female","75229",NA,"def_18","Black","Male","trial_13",2021-07-01,"Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","18 - 30","State","No","Yes","No","No","No","No"
"21",21,"23","0","0","0","Not a Juror","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",49,"White","Female","75159",NA,"def_18","Black","Male","trial_13",2021-07-01,"Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","45 - 54","No","No","No","No","No","No","No"
"22",22,"24","0","0","1","Not a Juror","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",49,"White","Male","75150",NA,"def_18","Black","Male","trial_13",2021-07-01,"Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","45 - 54","Defense","No","Yes","No","No","No","No"
"23",23,"25","0","0","0","Juror","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",45,"Black","Female","75206",NA,"def_18","Black","Male","trial_13",2021-07-01,"Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","45 - 54","No","No","No","No","No","No","No"
"24",24,"26","0","0","1","Not a Juror","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",27,"White","Male","75206",NA,"def_18","Black","Male","trial_13",2021-07-01,"Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","18 - 30","Defense","No","Yes","No","No","No","No"
"25",25,"27","1","0","0","Not a Juror","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0",19,"White","Female","75080",NA,"def_18","Black","Male","trial_13",2021-07-01,"Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","18 - 30","No","Yes","No","No","No","No","Yes"
"26",26,"28","0","0","0","Juror","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",28,"White","Male","75039",NA,"def_18","Black","Male","trial_13",2021-07-01,"Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","18 - 30","No","No","No","No","No","No","No"
"27",27,"29","1","0","0","Not a Juror","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0",68,"Black","Male","75134",NA,"def_18","Black","Male","trial_13",2021-07-01,"Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","55 +","No","Yes","No","No","No","No","Yes"
"28",28,"30","1","0","0","Not a Juror","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0",24,"White","Male","75229",NA,"def_18","Black","Male","trial_13",2021-07-01,"Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","18 - 30","No","Yes","No","No","No","No","No"
"29",29,"31","1","0","0","Not a Juror","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",23,"Hispanic","Male","75216",NA,"def_18","Black","Male","trial_13",2021-07-01,"Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","18 - 30","No","Yes","No","No","No","No","No"
"30",30,"32","0","0","0","Juror","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",35,"Black","Female","75235",NA,"def_18","Black","Male","trial_13",2021-07-01,"Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","31 - 44","No","No","No","No","No","No","No"
"31",31,"33","1","0","0","Not a Juror","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0",64,"White","Male","75180",NA,"def_18","Black","Male","trial_13",2021-07-01,"Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","55 +","No","Yes","No","No","No","No","Yes"
"32",32,"34","1","0","0","Not a Juror","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",31,"Hispanic","Male","75050",NA,"def_18","Black","Male","trial_13",2021-07-01,"Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","31 - 44","No","Yes","No","No","No","Yes","No"
"33",33,"35","1","0","0","Not a Juror","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",64,"Other","Female","75134",NA,"def_18","Black","Male","trial_13",2021-07-01,"Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","55 +","No","Yes","No","No","No","Yes","No"
"34",34,"36","0","0","1","Not a Juror","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",72,"White","Female","75234",NA,"def_18","Black","Male","trial_13",2021-07-01,"Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","55 +","Defense","No","Yes","No","No","No","No"
"35",35,"37","0","0","0","Juror","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",23,"Black","Male","75104",NA,"def_18","Black","Male","trial_13",2021-07-01,"Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","18 - 30","No","No","No","No","No","No","No"
"36",36,"38","0","0","0","Juror","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",57,"White","Female","75209",NA,"def_18","Black","Male","trial_13",2021-07-01,"Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","55 +","No","No","No","No","No","No","No"
"37",37,"39","1","0","0","Not a Juror","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0",54,"Black","Female","75062",NA,"def_18","Black","Male","trial_13",2021-07-01,"Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","45 - 54","No","Yes","No","No","No","No","No"
"38",38,"40","0","0","0","Juror","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",26,"White","Male","75253",NA,"def_18","Black","Male","trial_13",2021-07-01,"Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","18 - 30","No","No","No","No","No","No","No"
"39",39,"41","0","1","0","Not a Juror","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",63,"Asian","Male","75060",NA,"def_18","Black","Male","trial_13",2021-07-01,"Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","55 +","State","No","Yes","No","No","No","No"
"40",40,"42","1","0","0","Not a Juror","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",65,"White","Male","75038",NA,"def_18","Black","Male","trial_13",2021-07-01,"Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","55 +","No","Yes","No","No","No","Yes","No"
"41",41,"43","0","1","0","Not a Juror","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",24,"White","Male","75208",NA,"def_18","Black","Male","trial_13",2021-07-01,"Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","18 - 30","State","No","Yes","No","No","No","No"
"42",42,"44","1","0","0","Not a Juror","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",19,"Black","Male","75211",NA,"def_18","Black","Male","trial_13",2021-07-01,"Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","18 - 30","No","Yes","No","No","No","No","No"
"43",43,"45","0","0","1","Not a Juror","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",22,"Other","Female","75051",NA,"def_18","Black","Male","trial_13",2021-07-01,"Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","18 - 30","Defense","No","Yes","No","No","No","No"
"44",44,"46","0","0","1","Not a Juror","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",29,"White","Male","75231",NA,"def_18","Black","Male","trial_13",2021-07-01,"Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","18 - 30","Defense","No","Yes","No","No","No","No"
"45",45,"47","0","0","0","Juror","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",60,"White","Female","75081",NA,"def_18","Black","Male","trial_13",2021-07-01,"Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","55 +","No","No","No","No","No","No","No"
"46",46,"48","0","0","0","Juror","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",37,"White","Male","75243",NA,"def_18","Black","Male","trial_13",2021-07-01,"Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","31 - 44","No","No","No","No","No","No","No"
"47",47,"49","0","0","0","Juror","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",34,"Black","Female","75217",NA,"def_18","Black","Male","trial_13",2021-07-01,"Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","31 - 44","No","No","No","No","No","No","No"
"48",48,"50","0","0","0","Juror","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",26,"White","Female","75044",NA,"def_18","Black","Male","trial_13",2021-07-01,"Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","18 - 30","No","No","No","No","No","No","No"
"49",49,"51","1","0","0","Not a Juror","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",64,"White","Female","75238",NA,"def_18","Black","Male","trial_13",2021-07-01,"Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","55 +","No","Yes","No","No","No","Yes","No"
"50",50,"52","0","0","0","Juror","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",28,"White","Male","75230",NA,"def_18","Black","Male","trial_13",2021-07-01,"Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","18 - 30","No","No","No","No","No","No","No"
"51",51,"53","0","0","1","Not a Juror","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",65,"White","Female","75229",NA,"def_18","Black","Male","trial_13",2021-07-01,"Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","55 +","Defense","No","Yes","No","No","No","No"
"52",52,"54","0","1","0","Not a Juror","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",54,"Hispanic","Male","75249",NA,"def_18","Black","Male","trial_13",2021-07-01,"Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","45 - 54","State","No","Yes","No","No","No","No"
"53",53,"55","1","0","0","Not a Juror","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0",65,"Black","Female","75228",NA,"def_18","Black","Male","trial_13",2021-07-01,"Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","55 +","No","Yes","No","No","No","Yes","Yes"
"54",54,"56","0","1","1","Not a Juror","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",44,"Other","Female","75214",NA,"def_18","Black","Male","trial_13",2021-07-01,"Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","31 - 44","State","No","Yes","No","No","No","No"
"55",55,"57","0","0","0","Juror","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",50,"White","Female","75089",NA,"def_18","Black","Male","trial_13",2021-07-01,"Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","45 - 54","No","No","No","No","No","No","No"
"56",56,"58","1","0","0","Not a Juror","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0",36,"Asian","Female","75104",NA,"def_18","Black","Male","trial_13",2021-07-01,"Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","31 - 44","No","Yes","No","No","No","No","Yes"
"57",57,"63","1","0","0","Not a Juror","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0",31,"Hispanic","Female","75050",NA,"def_18","Black","Male","trial_13",2021-07-01,"Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","31 - 44","No","Yes","No","No","No","No","Yes"
"58",58,"65","1","0","0","Not a Juror","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",29,"White","Female","75201",NA,"def_18","Black","Male","trial_13",2021-07-01,"Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","18 - 30","No","Yes","No","No","No","No","No"
"59",59,"66","1","0","0","Not a Juror","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0",40,"Black","Male","75104",NA,"def_18","Black","Male","trial_13",2021-07-01,"Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","31 - 44","No","Yes","No","No","No","No","No"
"60",60,"69","1","0","0","Not a Juror","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",58,"Black","Male","75212",NA,"def_18","Black","Male","trial_13",2021-07-01,"Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","55 +","No","Yes","No","No","No","No","No"
"61",61,"72","1","0","0","Not a Juror","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",60,"White","Male","75244",NA,"def_18","Black","Male","trial_13",2021-07-01,"Murder","Lesser",10,"0","Verdict: Manslaughter, the lesser included offense of murder","55 +","No","Yes","No","No","No","Yes","No"
"62",62,"1","0","1","0","Not a Juror","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",33,"White","Female","75089",NA,"def_39","Black","Male","trial_11",2021-09-10,"Murder","Mistrial",0,"0","Mistrial because of a significant medical incident involving a lawyer.","31 - 44","State","No","Yes","No","No","No","No"
"63",63,"2","0","0","1","Not a Juror","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",68,"White","Female","75052",NA,"def_39","Black","Male","trial_11",2021-09-10,"Murder","Mistrial",0,"0","Mistrial because of a significant medical incident involving a lawyer.","55 +","Defense","No","Yes","No","No","No","No"
"64",64,"3","0","0","0","Juror","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",46,"White","Female","75062",NA,"def_39","Black","Male","trial_11",2021-09-10,"Murder","Mistrial",0,"0","Mistrial because of a significant medical incident involving a lawyer.","45 - 54","No","No","No","No","No","No","No"
"65",65,"4","1","0","0","Not a Juror","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",36,"Black","Male","75042",NA,"def_39","Black","Male","trial_11",2021-09-10,"Murder","Mistrial",0,"0","Mistrial because of a significant medical incident involving a lawyer.","31 - 44","No","Yes","No","No","No","Yes","No"
"66",66,"5","0","0","0","Not a Juror","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",63,"Other","Male","75211",NA,"def_39","Black","Male","trial_11",2021-09-10,"Murder","Mistrial",0,"0","Mistrial because of a significant medical incident involving a lawyer.","55 +","No","No","No","No","No","No","No"
"67",67,"6","0","0","0","Not a Juror","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",20,"Black","Male","75040",NA,"def_39","Black","Male","trial_11",2021-09-10,"Murder","Mistrial",0,"0","Mistrial because of a significant medical incident involving a lawyer.","18 - 30","No","No","No","No","No","Yes","No"
"68",68,"7","1","0","0","Not a Juror","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",39,"Black","Female","75080",NA,"def_39","Black","Male","trial_11",2021-09-10,"Murder","Mistrial",0,"0","Mistrial because of a significant medical incident involving a lawyer.","31 - 44","No","Yes","No","No","No","Yes","No"
"69",69,"8","0","0","0","Juror","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",52,"White","Male","75041",NA,"def_39","Black","Male","trial_11",2021-09-10,"Murder","Mistrial",0,"0","Mistrial because of a significant medical incident involving a lawyer.","45 - 54","No","No","No","No","No","No","No"
"70",70,"9","1","0","0","Not a Juror","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0",57,"White","Female","75218",NA,"def_39","Black","Male","trial_11",2021-09-10,"Murder","Mistrial",0,"0","Mistrial because of a significant medical incident involving a lawyer.","55 +","No","Yes","No","Yes","No","Yes","No"
"71",71,"10","0","1","0","Not a Juror","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",52,"White","Male","75104",NA,"def_39","Black","Male","trial_11",2021-09-10,"Murder","Mistrial",0,"0","Mistrial because of a significant medical incident involving a lawyer.","45 - 54","State","No","Yes","No","No","No","No"
"72",72,"11","1","0","0","Not a Juror","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0",63,"White","Male","75041",NA,"def_39","Black","Male","trial_11",2021-09-10,"Murder","Mistrial",0,"0","Mistrial because of a significant medical incident involving a lawyer.","55 +","No","Yes","No","No","No","No","Yes"
"73",73,"12","0","0","0","Juror","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",54,"White","Female","75150",NA,"def_39","Black","Male","trial_11",2021-09-10,"Murder","Mistrial",0,"0","Mistrial because of a significant medical incident involving a lawyer.","45 - 54","No","No","No","No","No","No","No"
"74",74,"13","1","0","0","Not a Juror","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",29,"Other","Other","75228",NA,"def_39","Black","Male","trial_11",2021-09-10,"Murder","Mistrial",0,"0","Mistrial because of a significant medical incident involving a lawyer.","18 - 30","No","Yes","No","No","No","Yes","No"
"75",75,"14","1","0","0","Not a Juror","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",22,"Black","Female","75146",NA,"def_39","Black","Male","trial_11",2021-09-10,"Murder","Mistrial",0,"0","Mistrial because of a significant medical incident involving a lawyer.","18 - 30","No","Yes","No","No","No","Yes","No"
"76",76,"15","1","0","0","Not a Juror","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0",58,"White","Female","75043",NA,"def_39","Black","Male","trial_11",2021-09-10,"Murder","Mistrial",0,"0","Mistrial because of a significant medical incident involving a lawyer.","55 +","No","Yes","No","Yes","No","No","No"
